"depth","headdirection"
NULL,NULL
NULL,NULL
NULL,NULL
"0.72",NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.15",""
NULL,NULL
"1.4",NULL
"0.9","W"
"2.45",NULL
NULL,NULL
NULL,NULL
"1.45",NULL
"0.64","W"
"1.95",NULL
"1",""
NULL,NULL
"2.61",NULL
"1.3",NULL
"1.7","W"
"2.09","W"
NULL,NULL
NULL,NULL
NULL,NULL
"0.6","W"
"0.17","W"
"1.28","W"
"0.72","W"
"0.63","W"
NULL,NULL
NULL,NULL
"0.63","W"
"0.18",NULL
"0.5","W"
"0.13","W"
"1.1","W"
"1.73","E"
"0.82","W"
"1.39",NULL
NULL,NULL
"1.2","W"
"0.76","W"
"0.92",""
"",""
"0.75","W"
"1.5",NULL
"2.6",NULL
"1.29",NULL
"1",NULL
"0.3","W"
"1.39",""
"1.6","E"
"1.1",""
NULL,NULL
"1.13","W"
"1.95",NULL
"0.68","E"
"0.31","W"
"1","W"
"0.7","W"
"2.7","W"
"1.25",NULL
"1.6",""
"0.95","W"
"0",NULL
NULL,NULL
"0.7","W"
"1.1","W"
"0.94",""
"1.1","W"
"2.4","W"
"1.58",NULL
"0.5","W"
"1","W"
"2.07","W"
"1.35",NULL
"0.8","W"
"1.18","W"
"1.75","W"
"2","E"
"1.04","W"
NULL,NULL
"0.8","W"
"1.15","W"
"1.2","W"
"1.4","W"
"3.29",NULL
"1.91","E"
"1.6",""
"1.5",NULL
"0.66",NULL
"1.1","W"
"2.04",NULL
"0.76","W"
"1.27","W"
"0.9",""
"0.99","W"
"0.13",NULL
"0.55","W"
"2.2","W"
"0.54","W"
"0.35","W"
"1.75","E"
"0.45","W"
"2.12","E"
"2",NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"1.28","W"
NULL,NULL
NULL,NULL
NULL,NULL
"0.16","W"
"0.13","W"
"1.14","W"
"0.94","W"
"1.22","W"
"1.2",""
"1.16","W"
"0.54","W"
"0",NULL
"1.14","W"
"1.06","W"
"2.09","W"
"2.78","W"
"2.26",NULL
"1.8","E"
NULL,NULL
"0.9","W"
"0.71","W"
"1.6","W"
"1.32",NULL
"2.2","E"
"1.85","E"
"1.05","W"
"1.7",""
"2.88","W"
NULL,NULL
"2.5","W"
"0.57",""
"1.24","W"
"1.1","W"
"1.52","E"
"0.61",NULL
"0.3","W"
"0.81","E"
"0.08",""
"1.06",NULL
"1.28","W"
NULL,NULL
"2.34","W"
"0.72","W"
"1.38","W"
"1.12",NULL
"0.73","W"
NULL,NULL
"0.5",NULL
NULL,NULL
"0.32","W"
"2.09",NULL
NULL,NULL
"0.95",NULL
"",""
"0.68",""
"1.38",""
"1.8","W"
"1.58","W"
"1.1",""
"0.55",NULL
"2.2",NULL
"0.7",NULL
"U",""
"1.51","W"
"0.38","W"
"0.9",NULL
"1.33",NULL
"0.4","W"
"0.92",""
"2","W"
"1.3","W"
"1.1","W"
"1.05","W"
"1.35",NULL
"1.07",NULL
"1.8","W"
"1.55","W"
"1.4","W"
"0.98","W"
"1.8",NULL
"1.72","W"
"1.1","W"
"0.97","W"
"0.21","W"
"2.19","W"
"0.6","W"
"2.03",NULL
"1.25",""
"0.96","W"
"1.9","W"
"1","W"
NULL,NULL
"2.1","E"
"1.4",""
"1.06",NULL
"1.44","W"
"0.08",""
"0.1","W"
"1.23",""
"1.33",NULL
"1.9",""
"2.03",""
"1.1",""
"1.9","E"
"2.12","E"
"1.93","W"
"1.02","W"
"1.75",NULL
"1.2","W"
"1.4","W"
"1.1","W"
"1.54","W"
"1.58","W"
"0.8","W"
"2","E"
"1.3",""
"1.57",NULL
"1.45","E"
"1.6",NULL
NULL,NULL
"1.8",""
"0.26","W"
"1.03","W"
"1.2","W"
"0.71",NULL
"0.79","W"
"1.2",NULL
"0.75",""
"1.7",""
"1.2","W"
"0.92",NULL
"1.35",NULL
"1.34",NULL
"0.86","W"
NULL,NULL
"0.64","W"
"2.16","W"
"1",""
"0.45",NULL
"U",""
"1.3","W"
"0.74","W"
"1.34",NULL
"0",""
"1.1",""
"",""
"1.53","W"
"1.07",NULL
"0.95","W"
"",""
"1.15","W"
"0.76","W"
"0.59","W"
"0.8","W"
"0.4",""
"1.65","W"
"1.37","W"
"1.1","W"
"U",""
NULL,NULL
"1.02","W"
"1.1","W"
NULL,NULL
"2.1","E"
"0.68","W"
"1.17","W"
"1.75",NULL
"2.3","E"
"1.5","W"
"0.55",""
"1.66",NULL
"2.27","W"
NULL,NULL
"1.35",NULL
"0.6","W"
"1","W"
"1.3","E"
NULL,NULL
"1.6","E"
"1.49","E"
NULL,"W"
"0.8","W"
"1.3",NULL
NULL,NULL
"2.5","W"
"2.2",NULL
"0.91",NULL
"1.02","W"
"0.83","W"
"0.95",NULL
"1.3",""
"1.09",NULL
"0.9","W"
"1.31",NULL
"1.56",NULL
"1.17",NULL
"1.7","W"
"0.8","W"
"1.04",NULL
"1.8",""
"1",""
NULL,NULL
"2.1","W"
"1.4",""
"1.45",NULL
NULL,NULL
"1.77",NULL
"1.26","W"
"2.2","E"
NULL,NULL
"1.25","W"
"1.2","W"
"1","W"
"1.88","W"
"1.62","W"
"0.75","W"
"2.8",""
"0.66",NULL
"1.2","W"
"0.93","W"
"0.23",NULL
"1.7","W"
"0.96",""
"1.45",NULL
"0.85","W"
"1.52",NULL
"1.12","E"
"0.94",""
"0.6","W"
NULL,NULL
"",""
"1.7","E"
"1.75",NULL
"0.6","W"
"0.75",NULL
"0.52","W"
"0.66",NULL
"1.25","E"
"2.2","E"
"0.66",NULL
"0.95","W"
"1.9","W"
"0.93",""
"1.7","W"
"1.56","W"
"",""
"1.37","W"
"2.25","W"
"1.52","W"
"0.83",NULL
"",""
"0.95",NULL
"1.02","W"
"1",""
"0.74","W"
"1.52","W"
"0.75",NULL
"1.35","W"
"0.65","W"
"","W"
"0.15",NULL
"1.7","W"
"2","W"
"1.9","W"
"1.12","W"
"1.43",NULL
"1.45",""
"1.31",""
"2.84",NULL
NULL,NULL
"0.8","W"
"0.93","W"
"1.05","W"
NULL,"E"
"1.1",""
"0.25",""
NULL,NULL
"1",""
NULL,NULL
NULL,NULL
"0.9",""
NULL,NULL
NULL,NULL
"0.95","W"
"1.62",""
"0.76","W"
"2.3","E"
"1.53","W"
"0.98","W"
"2.26",NULL
"0.81","W"
"0.88","W"
"1.55",NULL
"1.6","W"
"1.2",""
"1.46","E"
"2.45","W"
"1.84","E"
"0.6","W"
"2.35","E"
"1.3",""
"1.46","W"
"0.65","W"
"1.48","E"
"0.95","W"
"0.5",NULL
"2.11",""
"1.2",NULL
"2.4",NULL
"0.64","W"
"0.7","W"
NULL,NULL
"1.26",NULL
"0.75",""
NULL,NULL
"0.5",NULL
"1",""
"0.32","W"
"2.3","E"
"1.14",NULL
"1.03","E"
"1.9",NULL
"0.96","W"
"1.22","W"
NULL,NULL
"1.14","W"
"0.2","W"
"2.28","W"
"0.42","W"
"1.42","W"
"1","W"
"1.86",NULL
"1.5","W"
"0.7","W"
NULL,NULL
"2.06",NULL
"1.4","W"
"1","W"
"0.85","W"
"1.45","W"
"1.34","W"
"0.9","W"
"0.45",NULL
"2.14","N LL"
"1.06",NULL
"1.6","W"
"1.26","W"
"2.07","E"
"0.4","W"
"0.69","W"
"0.66",""
"1.27",NULL
"2.4",NULL
"1.2","W"
"",""
"2.312","E"
"0.48",NULL
"0.99",""
"1.78","W"
"1.03",NULL
"0.84","W"
"2.04","W"
NULL,NULL
"1.46","W"
"1.68",NULL
"0.58","W"
"U","I"
"0.9","W"
"1.3","W"
"1.2","W"
"0.5",NULL
"2.02","E"
"0.68",""
"1",""
"1.45","W"
"U","I"
"1.48","W"
"1.75","W"
"0.56","W"
"2.08","E"
"1.3",NULL
"1.2","W"
"1.41","W"
"0.67","W"
"1.03","W"
"0.75","W"
"0.8","W"
"0.75","W"
"0.63",""
"0.42","W"
"0",""
"0.8","W"
"2.31","W"
NULL,NULL
"1.23","W"
"0.66",NULL
"1.1",""
"0.5",NULL
"1.26",NULL
"0.93","E"
"1.3","W"
"U",""
"0.9","W"
"0.85","W"
"1.28","W"
"1.22",""
"1.1",""
"1.9","W"
"1.1","W"
"0.9","W"
"0.8",""
"1.43",""
"1.38","W"
"0.34","W"
"2.54",NULL
"0.84","W"
"1.24",""
"1.03","W"
"2.03",NULL
"0.6",""
"0.7",NULL
NULL,NULL
"0.75","W"
"",""
"2.25","E"
"1.8","W"
"0.69","W"
"1.52","W"
"0.57","W"
"0.37",NULL
"0.78",""
"0.66",NULL
"0.95",NULL
"2.3",NULL
NULL,NULL
"0.78","W"
"1.7","W"
"0.37",NULL
NULL,NULL
"1.2","W"
"1.42",NULL
"1.27","W"
"2.64","E"
NULL,NULL
"0.83","W"
"0.97",NULL
NULL,NULL
"1.5","W"
NULL,NULL
"0.85","W"
"1.17","W"
"0.2",""
"0.3","W"
"0.66",NULL
"0.96","W"
"1.6",""
"0.4",NULL
"0.85","W"
"1.4","E"
"0.6",NULL
"0.8","W"
"1.02","W"
"0.78","W"
"1.04","W"
"1.28","W"
"1.1","W"
"0.18","W"
"1.5","W"
"1.6","W"
"2.14","N LL"
"2.4","W"
"0.74","E"
"0.9","W"
"0.87","W"
"1","W"
"1.2","W"
"1.52","W"
NULL,NULL
"0.61",""
"0.5",NULL
"1.04",NULL
"2.03","W"
"0.98",""
"1.65","W"
"0.7","W"
"1.1","W"
"1.3","W"
"0.85",NULL
"0.85","W"
"1.9",NULL
"0.7",""
NULL,NULL
NULL,NULL
"0.95",""
"1.32","W"
"1","W"
"1.34","E"
NULL,NULL
"1.6",NULL
"1.07","W"
"",""
"0.66",NULL
"0.4","W"
NULL,NULL
NULL,NULL
"0.6","W"
"0.85",NULL
"1.05","W"
"0.08",""
"",""
"1.2",""
"1.97",NULL
"0.28",""
"1.24","W"
"1.32",NULL
"0.9",NULL
"0.75",NULL
"1.06",""
"2.42",NULL
"0.88",NULL
"1.5",""
"U",""
"1.91","E"
"0.72",NULL
NULL,NULL
"0.76","W"
NULL,NULL
"1.15",NULL
"1.6",NULL
"0.45",""
"1.5",NULL
"1","W"
"0.58",""
"1.25",NULL
NULL,NULL
"2","W"
"",""
"1.96","W"
"1.22","W"
"1.22","W"
"1.02","W"
"1.23","W"
"1.7",""
"0.96",NULL
"1.57",NULL
"1.26","W"
"0.96",""
"2.3",NULL
"1.9",NULL
"0.85","W"
"0.7","W"
"2","E"
"1.1","W"
"2.19","E"
"0.8","W"
"1.68",NULL
"1.05","W"
"1.3",""
"0.9","W"
"2.18",""
"1.9","E"
"0.5",NULL
"1.43","W"
"1",""
"0.66",""
"0.6","W"
"0.8","W"
"1.64","W"
NULL,NULL
"1.1",NULL
"0.84",""
NULL,NULL
"1.75","W"
"2.57",NULL
NULL,NULL
"",""
"","E"
"1.7",""
NULL,NULL
NULL,NULL
"2.1","W"
"0.92",NULL
"1.95","E"
"1.45","W"
"1.19","W"
"1.89","W"
"1",NULL
"1.49","W"
"0.95","W"
"1.7","W"
"1.1","W"
"0",""
"0.9","W"
"1.17","W"
"1.69",NULL
"1.25",NULL
"1.07",""
"0.8",""
"2","W"
"1.33",""
"1.3",""
"0.93",NULL
"2.14","N LL"
"0.65","W"
"1.41","W"
"0.5","W"
"0.74","W"
"0.45","W"
"0.7","W"
"0.47","W"
"0.77","W"
"1.45","W"
"0.73","W"
"1.05","W"
"1.65","W"
"0.9",""
"0.6",""
"0.94","W"
"2.17",NULL
"0.9",NULL
"1.01","W"
"0.55","W"
"1.2",""
"0.44","W"
"2.6",NULL
"0.8","W"
"3.93",NULL
"1.09","W"
NULL,NULL
"1.02","W"
"1",""
"1.13","W"
"0",""
"0.53",""
"1.02","W"
"0.38","W"
"0.87",NULL
"1",""
"1.25","W"
NULL,NULL
"0.66",NULL
"1.22","W"
"1.7",""
"0.81","W"
"0.5","W"
"2.54",NULL
"0.65","W"
NULL,NULL
"1.25","W"
"0.8",NULL
"1.46","E"
"1.01",NULL
"0.77",""
"1","W"
"0.52",NULL
"0.79","W"
"1","W"
"1.21","W"
"2.1",NULL
"0.96","W"
"1.11",""
"1",""
"2.15",NULL
"0.08",""
"1.55","W"
"2.55",NULL
"0.52",""
"1.88","E"
"2.01","W"
"0.83","W"
"1.23","W"
"1.11","W"
"1.73",NULL
"1.05","W"
"0.16",""
"",NULL
"0.57","W"
"0.85",NULL
"1.5",NULL
"1",NULL
NULL,NULL
"0.35",""
"0.7","W"
"1.75","W"
"0.75",""
"0.3",NULL
"2.63","W"
"1.4","W"
"0.2","W"
"0.81","W"
"0.5",NULL
"1.47","W"
"1.92","E"
"1.15","W"
"0.75","W"
"2.05","E"
"2","E"
"1.84","E"
"1.1","W"
"0.9",""
"0.32","W"
"0.73","W"
"0.9","W"
"1.6","W"
"0.65",NULL
NULL,NULL
"1.5",NULL
"0.48","W"
"1","W"
"1.3",NULL
"1.15","W"
"0.91",NULL
"1.32",NULL
"0.88",""
"0.97","W"
"0.95","W"
"1.9","E"
"1",""
"1.37","W"
"1.3","W"
"1.4","W"
"0.8","W"
"1.38",NULL
"2.6","W"
"0.47","W"
"0.9","W"
"0",NULL
"2.1","E"
"1.1","W"
"1.17","W"
"1",""
"1","W"
"1.45","W"
"1.4",""
"1.36",NULL
"1.2","W"
"0.75","W"
"1.05","W"
"0.3","W"
"0.4",NULL
"1.17","W"
"0.9",""
"1.3",NULL
"1.77","W"
"1.23",NULL
"1.62",NULL
NULL,NULL
"1.01",NULL
"0.72",""
"0.75","W"
"1.1","W"
"0.9",""
"2.3","W"
NULL,NULL
"1.13","W"
"1.2",""
"0.8","W"
NULL,NULL
"1.95","E"
"1.74",NULL
"1.9","W"
"0.94","W"
"0.9",NULL
"2.88",""
"0.3",""
"0.95","W"
"1.92","E"
"0.73",""
"1.68",NULL
"0.45",NULL
"0.8","W"
"1.25",NULL
"0.56","W"
"",""
"0.92","W"
"0",NULL
"0.47",""
"1.55",NULL
"1.86","W"
"1.63","W"
"1.56","W"
"2.03","E"
"0.13","W"
"0.5","W"
"1.1",NULL
NULL,NULL
"0.9",""
"0.96",NULL
"1","W"
"","E"
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.3","W"
"1.5","E"
NULL,NULL
"2.35",""
"0.9","W"
"1.26","W"
NULL,NULL
"",""
"0.75","W"
"0.63",""
"1.05","W"
"1.21",NULL
"1.3","W"
"0.81",NULL
"0.6","W"
"1.16","W"
"1.2",""
"0.9","W"
"1.1",NULL
"1.4","W"
"0.4",NULL
NULL,NULL
"0.91",NULL
"1.72","W"
"0.51",NULL
"1.41",NULL
"1.1","E"
"1.4","W"
"1.5","E"
"1.18","W"
"2.87","E"
"1.07",""
"1.11",NULL
NULL,NULL
"0.97","W"
"1.1",NULL
"0.8","W"
"0.87","W"
"2.14","N LL"
"0.1",""
"2.91",NULL
"2.3",NULL
"1.3","W"
"0.9",""
"1.5","W"
"2.33","E"
"0.74","E"
"0",NULL
"1.24","W"
"0.92","W"
"1.61","E"
"0.75",NULL
"0.55","W"
"1",""
"1.3","W"
"0.72","W"
"1.85","W"
"2.3",""
"1.45",NULL
"0.9","W"
"0.78",""
NULL,NULL
"0.98",NULL
"1.1",""
"1.4",NULL
"0.68","W"
"1.35","W"
